sail 3 mars; shortest distance: 86687910.4073702|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-140936505.632|44459186.064967826|19308136.701885693|0.0|0.6|-10.238742904069497|-25.871770701999143|-11.216934718876878|315482174.4232173|70746997.38241625|28830259.48066341|324600252.43235916
1|-141117510.32950088|43999491.291814215|19108831.78414206|17756.465148141804|0.6|-10.148716194614414|-25.905938645292697|-11.231769737058038|315426186.50012636|71560563.98135021|29198287.720810365|324757037.5729657
2|-141296915.36704436|43539192.501918405|18909264.613078088|35512.93029628361|0.6|-10.058566504842155|-25.93980710426018|-11.24647491207783|315367847.94193006|72374237.69939739|29566370.60488853|324913957.947083
3|-141474718.69123235|43078294.72418375|18709437.369006295|53269.39544442541|0.6|-9.968295150162481|-25.973375630632674|-11.261050049279612|315307158.08096105|73188012.2364777|29934505.33206779|325071013.29047257
4|-141650918.03641492|42616803.57824613|18509352.488360904|71025.86059256722|0.6|-9.877903601908477|-26.006643730933085|-11.275494934370734|315244116.03972834|74001880.70553444|30302688.847053394|325228202.9544596
5|-141825511.29029638|42154724.3790551|18309012.275483422|88782.32574070903|0.6|-9.787393253039392|-26.039610946214598|-11.289809368048308|315178721.09650934|74815836.52795479|30670918.22830151|325385526.4949196
6|-141998496.35578418|41692062.47329157|18108419.04847844|106538.79088885082|0.6|-9.696765506157867|-26.072276821976132|-11.303993152935321|315110972.5471846|75629873.0971542|31039190.542164795|325542983.4504761
7|-142169871.16111577|41228823.21577656|17907575.128985614|124295.25603699262|0.6|-9.606021767336113|-26.10464091039981|-11.31804609455215|315040869.715351|76443983.80216941|31407502.85312157|325700573.35844517
8|-142339633.65903682|40765011.9690629|17706482.842002437|142051.72118513443|0.6|-9.515163445947339|-26.13670277014796|-11.331968001228569|314968411.95148575|77258162.0280686|31775852.223954283|325858295.7540819
9|-142507781.8274996|40300634.10353131|17505144.51592604|159808.18633327624|0.6|-9.424191954708851|-26.168461966560226|-11.345758684189224|314893598.6336309|78072401.15585709|32144235.715708867|326016150.171163
10|-142674313.66973776|39835694.996841915|17303562.48231539|177564.65148141806|0.6|-9.333108709459701|-26.199918071726508|-11.359417957585297|314816429.1674541|78886694.56302735|32512650.38793373|326174136.14214575
11|-142839227.21421632|39370200.03404068|17101739.07593741|195321.11662955984|0.6|-9.241915129203973|-26.231070664462337|-11.372945638483825|314736902.98618495|79701035.62345445|32881093.29863474|326332253.198025
12|-143002520.5144039|38904154.60809641|16899676.63499978|213077.58177770165|0.6|-9.150612636330859|-26.261919330192256|-11.386341546817087|314655019.5503731|80515417.70686051|33249561.504043534|326490500.8678921
13|-143164191.6489999|38437564.119396485|16697377.500932373|230834.04692584346|0.6|-9.059202656411438|-26.29246366106348|-11.399605505431918|314570778.3481014|81329834.1793206|33618052.05883721|326648878.67922765
14|-143324238.72199583|37970433.975623585|16494844.01833375|248590.51207398524|0.6|-8.967686618150495|-26.32270325597547|-11.412737340102566|314484178.8950335|82144278.40338758|33986562.016192906|326807386.1579282
15|-143482659.8627363|37502769.59163326|16292078.53491812|266346.9772221271|0.6|-8.876065953338681|-26.352637720609366|-11.425736879543448|314395220.7344612|82958743.7382158|34355088.42784183|326966022.8283336
16|-143639453.22598007|37034576.38933152|16089083.401462248|284103.44237026887|0.6|-8.784342096804673|-26.382266667457387|-11.438603955421915|314303903.4373512|83773223.53968523|34723628.344123445|327124788.21325463
17|-143794616.991961|36565859.79755233|15885860.971752364|301859.90751841065|0.6|-8.69251648636732|-26.411589715852237|-11.451338402371013|314210226.6023927|84587711.1605251|35092178.81403954|327283681.8340015
18|-143948149.36644906|36096625.251935236|15682413.602531094|319616.3726665525|0.6|-8.600590562787815|-26.44060649199654|-11.463940058002255|314114189.85604405|85402199.9504377|35460736.88530828|327442703.2104128
19|-144100048.5808399|35626878.19461765|15478743.653364051|337372.83781469427|0.6|-8.50856576963515|-26.469316629011942|-11.476408762926942|314015792.85260916|86216683.25640747|35829299.60449861|327601851.8609707
20|-144250312.892453|35156624.07257069|15274853.485918213|355129.3029628361|0.6|-8.41644355251658|-26.497719767132676|-11.488744360840265|313915035.2745213|87031154.4243662|36197864.01775274|327761127.3035433
21|-144398940.58422714|34685868.339853026|15070745.464939272|372885.7681109779|0.6|-8.32422536014213|-26.52581555348198|-11.500946698424126|313811916.83202505|87845606.7969406|36566427.16980984|327920529.0543389
22|-144545929.96485293|34214616.45702262|14866421.957996542|390642.2332591197|0.6|-8.231912644058676|-26.55360364215112|-11.513015625381458|313706437.26329505|88660033.71404156|36934986.104261935|328080056.6281448
23|-144691279.3688868|33742873.890670724|14661885.335280914|408398.6984072615|0.6|-8.139506858441305|-26.581083694265356|-11.524950994464872|313598596.33453643|89474428.5133313|37303537.863756835|328239709.53851926
24|-144834987.15681335|33270646.113289874|14457137.969547622|426155.1635554033|0.6|-8.047009460040988|-26.608255378014377|-11.536752661489876|313488393.84003305|90288784.53035648|37672079.49005633|328399487.2978305
25|-144977051.715108|32797938.60314189|14252182.236059014|443911.6287035451|0.6|-7.954421908132262|-26.635118368682747|-11.548420485348078|313375829.60219693|91103095.09868121|38040608.02409409|328559389.4172974
26|-145117471.45629936|32324756.844125863|14047020.512527319|461668.0938516869|0.6|-7.861745664460909|-26.661672348680305|-11.559954328020389|313260903.4716164|91917353.55001998|38409120.50603388|328719415.40703034
27|-145256244.8190317|31851106.32564614|13841655.179057416|479424.5589998287|0.6|-7.768982193191634|-26.687917007572626|-11.571354054590229|313143615.3271054|92731553.21437064|38777613.97532746|328879564.77607316
28|-145393370.2681274|31376992.542480323|13636088.618089603|497181.0241479705|0.6|-7.6761329608557425|-26.713852042111434|-11.582619533256738|313023965.07575214|93545687.42014731|39146085.470772676|329039837.032446
29|-145528846.2935234|30902420.995207135|13430323.214584908|514937.4892961123|0.6|-7.583199436403408|-26.739477155781998|-11.593750635138495|312901952.6518415|94359749.49375334|39514532.03032885|329200231.681928
30|-145662671.41007265|30427397.190204058|13224361.356024023|532693.9544442542|0.6|-7.490183091175576|-26.764792058721692|-11.604747234238209|312777578.01664376|95173732.75958446|39882950.69111861|329360748.2278067
31|-145794844.1601975|29951926.638227407|13018205.431792136|550450.4195923959|0.6|-7.397085398611038|-26.78979646886163|-11.615609207937831|312650841.1610534|95987630.54144943|40251338.490043774|329521386.1738205
32|-145925363.1125716|29476014.854966525|12811857.833418969|568206.8847405377|0.6|-7.303907834322312|-26.814490111365007|-11.626336436754993|312521742.1042582|96801436.16201662|40619692.46354598|329682145.02266043
33|-146054226.86214688|28999667.3609295|12605320.954529228|585963.3498886796|0.6|-7.210651876046625|-26.83887271864229|-11.636928804349589|312390280.89375216|97615142.94292893|40988009.647656895|329843024.27597624
34|-146181434.03020376|28522889.68131729|12398597.190788016|603719.8150368213|0.6|-7.117319003594736|-26.862944030376337|-11.647386197534692|312256457.6053725|98428744.20493032|41356287.07805354|330004023.4344087
35|-146306983.26440105|28045687.345897816|12191688.93984627|621476.2801849631|0.6|-7.023910698799761|-26.886703793547536|-11.657708506287463|312120272.34333587|99242233.2679922|41724521.79011338|330165141.9976227
36|-146430873.23882633|27568065.88888015|11984598.601286188|639232.745333105|0.6|-6.930428445466004|-26.910151762458934|-11.667895623760051|311981725.24027526|100055603.45143987|42092710.81896957|330326379.464341
37|-146553102.6540459|27090030.84878861|11777328.576566659|656989.2104812467|0.6|-6.836873729317778|-26.93328769876138|-11.677947446290515|311840816.4572766|100868848.07407895|42460851.19956611|330487735.3323784
38|-146673670.23703825|26611587.76832261|11569881.268962462|674745.6756293885|0.6|-6.743248037928327|-26.956111371427852|-11.687863873391706|311697546.18379855|101681960.45433584|42828939.96671918|330649209.098572
39|-146792574.73961562|26132742.194031447|11362259.083422935|692502.1407775304|0.6|-6.649552860391153|-26.97862255607076|-11.697644807455273|311551914.6360808|102494933.91058353|43196974.15525908|330810800.25735676
40|-146909814.94068888|25653499.676459562|11154464.426635403|710258.6059256722|0.6|-6.555789687646248|-27.00082103592976|-11.707290154179981|311403922.0593954|103307761.76099652|43564950.799967304|330972508.302796
