target: mars|target x|target y|target z|time
0|-100366032.12188011|-186780313.6314773|-82930676.56394392|0.0
1|-99957470.59278761|-186916682.51650003|-83004267.06078257|17763.563677898343
2|-99548542.04801302|-187052364.11554992|-83077552.24703534|35527.127355796685
3|-99139247.79904735|-187187357.55725738|-83150531.68757898|53290.691033695024
4|-98729589.16020554|-187321661.971966|-83223204.9479996|71054.25471159337
5|-98319567.4486268|-187455276.49174014|-83295571.59459619|88817.81838949172
6|-97909183.98427485|-187588200.25037247|-83367631.1943841|106581.38206739005
7|-97498440.08993667|-187720432.38339233|-83439383.31509878|124344.9457452884
8|-97087337.09122275|-187851972.02807304|-83510827.52519926|142108.50942318674
9|-96675876.31656721|-187982818.32343987|-83581963.39387172|159872.0731010851
10|-96264059.09722662|-188112970.410278|-83652790.49103326|177635.63677898343
11|-95851886.76727992|-188242427.4311403|-83723308.38733536|195399.20045688178
12|-95439360.66362879|-188371188.5303551|-83793516.65416746|213162.7641347801
13|-95026482.12599605|-188499252.85403422|-83863414.86366078|230926.32781267844
14|-94613252.49692585|-188626619.55008093|-83933002.58869186|248689.8914905768
15|-94199673.12178364|-188753287.7681975|-84002279.4028861|266453.45516847516
16|-93785745.34875476|-188879256.65989366|-84071244.88062151|284217.0188463735
17|-93371470.52884439|-189004525.3784942|-84139898.59703247|301980.5825242718
18|-92956850.01587749|-189129093.0791468|-84208240.12801315|319744.1462021702
19|-92541885.16649729|-189252958.9188305|-84276269.0502214|337507.7098800685
20|-92126577.34016524|-189376122.0563633|-84343984.94108231|355271.27355796687
21|-91710927.8991608|-189498581.6524102|-84411387.37879194|373034.8372358652
22|-91294938.2085799|-189620336.86949134|-84478475.942321|390798.40091376356
23|-90878609.63633469|-189741386.87199005|-84545250.21141863|408561.9645916619
24|-90461943.55315344|-189861730.82616064|-84611709.76661591|426325.5282695602
25|-90044941.33257878|-189981367.90013686|-84677854.1892298|444089.09194745857
26|-89627604.35096759|-190100297.26393962|-84743683.06136678|461852.6556253569
27|-89209933.98748995|-190218518.0894854|-84809195.96592656|479616.21930325526
28|-88791931.62412906|-190336029.55059397|-84874392.48660575|497379.7829811536
29|-88373598.64567927|-190452830.82299682|-84939272.2079018|515143.34665905195
30|-87954936.43974581|-190568921.08434534|-85003834.71511662|532906.9103369503
31|-87535946.3967445|-190684299.51421857|-85068079.59436029|550670.4740148486
32|-87116629.9098997|-190798965.2941318|-85132006.43255496|568434.037692747
33|-86696988.37524393|-190912917.6075445|-85195614.81743859|586197.6013706453
34|-86277023.19161746|-191026155.63986856|-85258904.33756861|603961.1650485436
35|-85856735.76066627|-191138678.57847658|-85321874.58232589|621724.728726442
36|-85436127.4868415|-191250485.61270997|-85384525.14191845|639488.2924043403
37|-85015199.77739902|-191361575.93388715|-85446855.6073852|657251.8560822387
38|-84593954.04239725|-191471948.73531199|-85508865.57059985|675015.419760137
39|-84172391.6946966|-191581603.21228194|-85570554.62427473|692778.9834380354
40|-83750514.14995888|-191690538.5620962|-85631922.36196448|710542.5471159337
41|-83328322.82664508|-191798753.98406422|-85692968.37807007|728306.110793832
42|-82905819.14601466|-191906248.67951387|-85753692.26784252|746069.6744717304
43|-82483004.532125|-192013021.8517997|-85814093.62738672|763833.2381496287
44|-82059880.4118289|-192119072.70631143|-85874172.05366537|781596.8018275271
45|-81636448.21477412|-192224400.45048225|-85933927.14450286|799360.3655054254
46|-81212709.37340228|-192329004.29379702|-85993358.49858898|817123.9291833238
47|-80788665.3229467|-192432883.44780076|-86052465.71548292|834887.4928612221
48|-80364317.50143147|-192536037.12610707|-86111248.3956172|852651.0565391204
49|-79939667.34967065|-192638464.54440632|-86169706.14030132|870414.6202170188
50|-79514716.31126577|-192740164.92047438|-86227838.55172592|888178.1838949171
51|-79089465.83260484|-192841137.4741807|-86285645.23296657|905941.7475728155
52|-78663917.36286156|-192941381.42749688|-86343125.78798759|923705.3112507138
53|-78238072.3539926|-193040896.0045052|-86400279.82164611|941468.8749286121
54|-77811932.26073664|-193139680.43140697|-86457106.93969592|959232.4386065105
55|-77385498.54061341|-193237733.93653098|-86513606.74879137|976996.0022844089
56|-76958772.65392089|-193335055.75034198|-86569778.85649134|994759.5659623072
57|-76531756.06373434|-193431645.1054494|-86625622.8712632|1012523.1296402055
58|-76104450.23590507|-193527501.2366154|-86681138.4024867|1030286.6933181039
59|-75676856.63905776|-193622623.38076383|-86736325.06045793|1048050.2569960022
60|-75248976.74458925|-193717010.77698857|-86791182.45639338|1065813.8206739007
61|-74820812.02666731|-193810662.66656193|-86845710.20243369|1083577.3843517988
62|-74392363.9622278|-193903578.29294354|-86899907.91164786|1101340.9480296972
63|-73963634.03097337|-193995756.90178865|-86953775.19803712|1119104.5117075955
64|-73534623.71537222|-194087197.74095672|-87007311.67653883|1136868.075385494
65|-73105334.50065501|-194177900.06052014|-87060516.9630306|1154631.6390633923
66|-72675767.87481368|-194267863.1127728|-87113390.67433432|1172395.2027412907
67|-72245925.32859984|-194357086.1522385|-87165932.4282199|1190158.766419189
68|-71815808.35552195|-194445568.4356799|-87218141.84340963|1207922.3300970872
69|-71385418.45184362|-194533309.22210696|-87270018.53958195|1225685.8937749856
70|-70954757.1165823|-194620307.7727855|-87321562.13737553|1243449.457452884
71|-70523825.85150607|-194706563.35124612|-87372772.25839338|1261213.0211307823
72|-70092626.16113204|-194792075.22329262|-87423648.52520674|1278976.5848086807
73|-69661159.55272478|-194876842.6570108|-87474190.56135926|1296740.148486579
74|-69229427.53629315|-194960864.92277712|-87524397.9913709|1314503.7121644774
75|-68797431.6245887|-195044141.29326743|-87574270.44074215|1332267.2758423756
76|-68365173.33310318|-195126671.0434657|-87623807.53595795|1350030.839520274
77|-67932654.18006696|-195208453.45067257|-87673008.90449177|1367794.4031981723
78|-67499875.68644564|-195289487.79451436|-87721874.17480974|1385557.9668760707
79|-67066839.3759383|-195369773.35695162|-87770402.97637473|1403321.530553969
80|-66633546.77497565|-195449309.42228788|-87818594.9396503|1421085.0942318675
81|-66199999.41271657|-195528095.27717853|-87866449.69610491|1438848.6579097658
82|-65766198.821046196|-195606130.21063954|-87913966.87821604|1456612.221587664
83|-65332146.534574054|-195683413.51405618|-87961146.11947413|1474375.7852655624
84|-64897844.09063043|-195759944.48119193|-88007987.0543868|1492139.3489434607
85|-64463293.029264405|-195835722.40819722|-88054489.31848298|1509902.912621359
86|-64028494.89324184|-195910746.59361824|-88100652.54831691|1527666.4762992575
87|-63593451.228041686|-195985016.33840573|-88146476.38147235|1545430.0399771559
88|-63158163.5818539|-196058530.945924|-88191960.4565667|1563193.6036550542
89|-62722633.5055773|-196131289.7219595|-88237104.41325507|1580957.1673329524
90|-62286862.552815855|-196203291.9747299|-88281907.89223444|1598720.7310108508
91|-61850852.27987639|-196274537.01489282|-88326370.53524789|1616484.2946887491
92|-61414604.24576643|-196345024.1555547|-88370491.98508856|1634247.8583666475
93|-60978120.01219031|-196414752.71227986|-88414271.88560396|1652011.4220445459
94|-60541401.14354684|-196483722.0030992|-88457709.88170011|1669774.9857224443
95|-60104449.20692703|-196551931.3485191|-88500805.61934558|1687538.5494003426
96|-59667265.772110045|-196619380.0715304|-88543558.74557577|1705302.1130782408
97|-59229852.411560826|-196686067.49761745|-88585968.90849708|1723065.6767561391
98|-58792210.70042768|-196751992.9547667|-88628035.757291|1740829.2404340375
99|-58354342.21653815|-196817155.77347594|-88669758.94221838|1758592.804111936
100|-57916248.540396504|-196881555.2867631|-88711138.11462356|1776356.3677898343
101|-57477931.25518123|-196945190.83017522|-88752172.9269386|1794119.9314677326
102|-57039391.94674079|-197008061.74179742|-88792863.0326874|1811883.495145631
103|-56600632.20359103|-197070167.36226192|-88833208.08649004|1829647.0588235294
104|-56161653.61691254|-197131507.03475693|-88873207.7440668|1847410.6225014275
105|-55722457.7805463|-197192080.1050356|-88912861.66224255|1865174.186179326
106|-55283046.290991016|-197251885.92142525|-88952169.49895082|1882937.7498572243
107|-54843420.747400306|-197310923.83483604|-88991130.91323811|1900701.3135351227
108|-54403582.75157833|-197369193.1987702|-89029745.56526807|1918464.877213021
109|-53963533.90797691|-197426693.36933103|-89068013.11632574|1936228.4408909194
110|-53523275.8236927|-197483423.70523176|-89105933.22882174|1953992.0045688178
111|-53082810.10846263|-197539383.56780478|-89143505.56629662|1971755.568246716
112|-52642138.37466098|-197594572.32101065|-89180729.79342498|1989519.1319246143
113|-52201262.2372964|-197648989.33144692|-89217605.57601972|2007282.6956025127
114|-51760183.31400727|-197702633.96835747|-89254132.5810364|2025046.259280411
115|-51318903.225058615|-197755505.6036414|-89290310.47657739|2042809.8229583094
116|-50877423.59333907|-197807603.61186212|-89326138.9318961|2060573.3866362078
117|-50435746.04435609|-197858927.37025648|-89361617.61740138|2078336.9503141062
118|-49993872.206232786|-197909476.2587438|-89396746.20466168|2096100.5139920043
119|-49551803.70970473|-197959249.65993485|-89431524.36640929|2113864.0776699027
120|-49109542.18811509|-198008246.95914122|-89465951.7765447|2131627.6413478013
121|-48667089.27741134|-198056467.54438412|-89500028.11014086|2149391.2050256995
122|-48224446.61614197|-198103910.8064036|-89533753.04344738|2167154.7687035976
123|-47781615.84545146|-198150576.13866773|-89567126.2538949|2184918.332381496
124|-47338598.60907712|-198196462.9373816|-89600147.42009935|2202681.8960593943
125|-46895396.55334469|-198241570.60149646|-89632816.22186626|2220445.459737293
126|-46452011.32716514|-198285898.53271887|-89665132.34019499|2238209.023415191
127|-46008444.58202945|-198329446.13551983|-89697095.45728308|2255972.5870930897
128|-45564697.97200509|-198372212.81714398|-89728705.25653058|2273736.150770988
129|-45120773.153732486|-198414197.98761854|-89759961.42254427|2291499.714448886
130|-44676671.78641968|-198455401.05976263|-89790863.64114206|2309263.2781267846
131|-44232395.53183874|-198495821.4491964|-89821411.59935722|2327026.8418046827
132|-43787946.054322|-198535458.57435012|-89851604.98544274|2344790.4054825814
133|-43343325.02075674|-198574311.85647336|-89881443.48887566|2362553.9691604795
134|-42898534.10058138|-198612380.71964422|-89910926.80036135|2380317.532838378
135|-42453574.96578165|-198649664.59077832|-89940054.61183783|2398081.0965162762
136|-42008449.29088514|-198686162.89963824|-89968826.61648019|2415844.6601941744
137|-41563158.75295735|-198721875.07884243|-89997242.5087048|2433608.223872073
138|-41117705.0315978|-198756800.56387457|-90025301.98417366|2451371.787549971
139|-40672089.80893437|-198790938.79309264|-90053004.73979883|2469135.3512278697
140|-40226314.769619316|-198824289.2077382|-90080350.4737467|2486898.914905768
141|-39780381.600825235|-198856851.25194544|-90107338.88544229|2504662.4785836665
142|-39334291.99223925|-198888624.37275055|-90133969.67557366|2522426.0422615646
143|-38888047.636058986|-198919608.0201008|-90160242.54609628|2540189.605939463
144|-38441650.226988286|-198949801.6468638|-90186157.20023724|2557953.1696173614
145|-37995101.46223141|-198979204.70883656|-90211713.34249978|2575716.7332952595
146|-37548403.04148878|-199007816.66475493|-90236910.67866752|2593480.296973158
147|-37101556.66695268|-199035636.9763026|-90261748.91580883|2611243.8606510563
148|-36654564.043301225|-199062665.10812044|-90286227.76228125|2629007.424328955
149|-36207426.87769406|-199088900.5278156|-90310346.9277358|2646770.988006853
150|-35760146.879767895|-199114342.70597085|-90334106.12312132|2664534.551684751
151|-35312725.76163039|-199138991.11615366|-90357505.0606889|2682298.11536265
152|-34865165.2378557|-199162845.23492554|-90380543.4539962|2700061.679040548
153|-34417467.025479876|-199185904.54185116|-90403221.01791179|2717825.2427184465
154|-33969632.84399466|-199208168.51950765|-90425537.46861961|2735588.8063963447
155|-33521664.415342875|-199229636.6534938|-90447492.52362327|2753352.3700742433
156|-33073563.463913742|-199250308.4324392|-90469085.90175042|2771115.9337521414
157|-32625331.716536507|-199270183.34801364|-90490317.32315716|2788879.4974300396
158|-32176970.90247571|-199289260.89493614|-90511186.50933242|2806643.061107938
159|-31728482.753426407|-199307540.5709843|-90531693.18310228|2824406.6247858363
160|-31279869.00350765|-199325021.8770035|-90551837.0686344|2842170.188463735
161|-30831131.389257826|-199341704.31691608|-90571617.89144242|2859933.752141633
162|-30382271.649628796|-199357587.39773068|-90591035.37839028|2877697.3158195317
163|-29933291.525981124|-199372670.62955132|-90610089.25769661|2895460.87949743
164|-29484192.76207728|-199386953.52558678|-90628779.25893919|2913224.443175328
165|-29034977.10407744|-199400435.60215965|-90647105.11305924|2930988.0068532266
166|-28585646.300532613|-199413116.37871575|-90665066.55236584|2948751.5705311247
167|-28136202.102379695|-199424995.37783325|-90682663.31054038|2966515.1342090233
168|-27686646.26293533|-199436072.1252318|-90699895.12264082|2984278.6978869215
169|-27236980.537890945|-199446346.14978206|-90716761.72510621|3002042.26156482
170|-26787206.685305603|-199455816.98351455|-90733262.85576098|3019805.825242718
171|-26337326.46560164|-199464484.16162914|-90749398.25381939|3037569.3889206164
172|-25887341.641557492|-199472347.22250417|-90765167.65988988|3055332.952598515
173|-25437253.97830244|-199479405.7077057|-90780570.81597953|3073096.516276413
174|-24987065.243310332|-199485659.1619967|-90795607.46549834|3090860.0799543117
175|-24536777.20639425|-199491107.13334626|-90810277.35326372|3108623.64363221
176|-24086391.639699318|-199495749.17293885|-90824580.22550485|3126387.2073101085
177|-23635910.3176972|-199499584.83518353|-90838515.82986705|3144150.7709880066
178|-23185335.01718043|-199502613.6777231|-90852083.91541621|3161914.3346659048
179|-22734667.51725513|-199504835.2614434|-90865284.23264316|3179677.8983438034
180|-22283909.59933535|-199506249.15048242|-90878116.53346807|3197441.4620217015
181|-21833063.04713727|-199506854.91223952|-90890580.57124482|3215205.0256996
182|-21382129.64667182|-199506652.11738476|-90902676.10076544|3232968.5893774983
183|-20931111.186238796|-199505640.33986792|-90914402.87826446|3250732.153055397
184|-20480009.456421044|-199503819.15692782|-90925760.6614233|3268495.716733295
185|-20028826.250076864|-199501188.14910138|-90936749.20937473|3286259.280411193
186|-19577563.362334035|-199497746.90023297|-90947368.28270715|3304022.8440890918
187|-19126222.59058385|-199493494.9974835|-90957617.64346908|3321786.40776699
188|-18674805.734473374|-199488432.03133956|-90967497.05517349|3339549.9714448885
189|-18223314.59589937|-199482557.59562272|-90977006.28280222|3357313.5351227866
190|-17771750.97900217|-199475871.28749856|-90986145.09281035|3375077.0988006853
191|-17320116.690157812|-199468372.70748594|-90994913.25313058|3392840.6624785834
192|-16868413.53797182|-199460061.45946613|-91003310.53317767|3410604.2261564815
193|-16416643.333272945|-199450937.15069196|-91011336.70385276|3428367.78983438
194|-15964807.889105182|-199440999.39179692|-91018991.53754778|3446131.3535122783
195|-15512909.020721402|-199430247.79680446|-91026274.80814986|3463894.917190177
196|-15060948.545576945|-199418681.98313698|-91033186.29104564|3481658.480868075
